"dir","count"
"/js/"                         ,"457"
"/css/"                        ,"368"
"/images/"                     ,"354"
"/api/"                        ,"254"
"/static/"                     ,"207"
"/img/"                        ,"183"
"/common/"                     ,"155"
"/login/"                      ,"147"
"/user/"                       ,"137"
"/v1/"                         ,"128"
"/fonts/"                      ,"85"
"/assets/"                     ,"84"
"/web/"                        ,"82"
"/image/"                      ,"72"
"/v2/"                         ,"68"
"/jquery/"                     ,"65"
"/lib/"                        ,"63"
"/scripts/"                    ,"60"
"/default/"                    ,"57"
"/list/"                       ,"55"
"/dist/"                       ,"53"
"/upload/"                     ,"53"
"/app/","51"
"/home/"                       ,"49"
"/public/","49"
"/index/"                      ,"47"
"/Account/"                    ,"46"
"/service/","43"
"/register/"                   ,"42"
"/captcha/"                    ,"42"
"/rest/"                       ,"41"
"/query/"                      ,"40"
"/1/","40"
"/base/"                       ,"39"
"/skin/"                       ,"39"
"/content/","38"
"/config/"                     ,"38"
"/themes/"                     ,"37"
"/admin/"                      ,"37"
"/styles/"                     ,"37"
"/product/"                    ,"36"
"/plugins/"                    ,"35"
"/rsa/","35"
"/search/","35"
"/2/","34"
"/i/"                          ,"34"
"/resource/"                   ,"34"
"/zh/","33"
"/code/"                       ,"33"
"/0/","32"
"/gy/"                         ,"31"
"/resources/"                  ,"31"
"/ui/"                         ,"31"
"/dlzt/"                       ,"31"
"/srf/","31"
"/zrr/"                        ,"31"
"/mm/","31"
"/loginstatus/"                ,"30"
"/gchatpic_new/","30"
"/kpzxx/","30"
"/data/"                       ,"29"
"/pc/"                         ,"29"
"/activity/","29"
"/gjhqd/","29"
"/basecode/","29"
"/vn/"                         ,"29"
"/wjmm/"                       ,"29"
"/sfzc/"                       ,"29"
"/Page/"                       ,"29"
"/v3/"                         ,"28"
"/cms/"                        ,"28"
"/mobile/"                     ,"28"
"/2019/"                       ,"27"
"/message/"                    ,"27"
"/widget/","27"
"/video/","26"
"/yl/","26"
"/icons/"                      ,"26"
"/s/","25"
"/order/"                      ,"25"
"/auth/"                       ,"24"
"/ylfw/","24"
"/header/"                     ,"24"
"/edgedl/"                     ,"24"
"/download/"                   ,"24"
"/11/","24"
"/yzmcj/"                      ,"24"
"/html/"                       ,"23"
"/zh-CN/","23"
"/icon/"                       ,"23"
"/channel/","23"
"/c/"                          ,"22"
"/style/","22"
"/12/"                         ,"22"
"/m/"                          ,"22"
"/ajax/"                       ,"22"
"/portal/","21"
"/2018/"                       ,"21"
"/main/","21"
"/3/","21"
"/a/"                          ,"20"
"/widevine-cdm/","20"
"/cgi-bin/"                    ,"20"
"/My97DatePicker/"             ,"20"
"/h5/","20"
"/uploads/"                    ,"20"
"/res/"                        ,"20"
"/qrcode/"                     ,"19"
"/libs/"                       ,"19"
"/manager/"                    ,"19"
"/theme/"                      ,"19"
"/log/"                        ,"19"
"/vendor/"                     ,"19"
"/view/","19"
"/component/"                  ,"19"
"/console/"                    ,"19"
"/layer/","18"
"/banner/","18"
"/operation/"                  ,"18"
"/users/","18"
"/2017/"                       ,"18"
"/6/"                          ,"17"
"/skins/","17"
"/security/"                   ,"17"
"/android/","17"
"/asset/"                      ,"17"
"/font/"                       ,"17"
"/5/"                          ,"17"
"/error/"                      ,"17"
"/src/"                        ,"17"
"/global/","17"
"/20/"                         ,"17"
"/bootstrap/"                  ,"17"
"/blog/"                       ,"16"
"/17/","16"
"/homePage/"                   ,"16"
"/10/","16"
"/pkg/"                        ,"16"
"/07/","16"
"/Pages/"                      ,"16"
"/script/","16"
"/sso/"                        ,"16"
"/04/","16"
"/it/","16"
"/vips-mobile/"                ,"16"
"/member/"                     ,"16"
"/analytics/"                  ,"15"
"/v4/"                         ,"15"
"/apc/","15"
"/files/"                      ,"15"
"/update/","15"
"/28/","15"
"/help/"                       ,"15"
"/share/"                      ,"15"
"/09/"                         ,"15"
"/item/","15"
"/modules/"                    ,"15"
"/file/"                       ,"15"
"/notice/"                     ,"15"
"/29/"                         ,"14"
"/tps/","14"
"/03/"                         ,"14"
"/7/","14"
"/_/"                          ,"14"
"/08/"                         ,"14"
"/lang/"                       ,"14"
"/open/"                       ,"14"
"/i2/","14"
"/project/"                    ,"14"
"/plugin/"                     ,"14"
"/layout/"                     ,"14"
"/pic/"                        ,"14"
"/u/","14"
"/p/"                          ,"14"
"/02/","14"
"/bundles/"                    ,"14"
"/statics/"                    ,"14"
"/4/"                          ,"14"
"/avatar/"                     ,"14"
"/util/","13"
"/r/"                          ,"13"
"/media/"                      ,"13"
"/news/"                       ,"13"
"/13/","13"
"/dynamic-config/"             ,"13"
"/popup/"                      ,"13"
"/31/"                         ,"13"
"/8/","13"
"/store/"                      ,"13"
"/passport/"                   ,"13"
"/01/"                         ,"13"
"/detail/"                     ,"12"
"/template/","12"
"/15/","12"
"/sys/"                        ,"12"
"/font-awesome/"               ,"12"
